Medical School Name,Country,City Name
INSTITUTO UNIVERSITARIO CEMIC ESCUELA DE MEDICINA,Argentina,Buenos Aires
INSTITUTO UNIVERSITARIO DE CIENCIAS BIOMÉDICAS DE CÓRDOBA,Argentina,Córdoba
"INSTITUTO UNIVERSITARIO DE CIENCIAS DE LA SALUD FACULTAD DE MEDICINA, SEDE BUENOS AIRES",Argentina,Buenos Aires
"INSTITUTO UNIVERSITARIO DE CIENCIAS DE LA SALUD FACULTAD DE MEDICINA, SEDE LA RIOJA",Argentina,La Rioja
"INSTITUTO UNIVERSITARIO DE CIENCIAS DE LA SALUD FACULTAD DE MEDICINA, SEDE SANTO TOMÉ",Argentina,Santo Tome
INSTITUTO UNIVERSITARIO ESCUELA DE MEDICINA DEL HOSPITAL ITALIANO,Argentina,Buenos Aires
INSTITUTO UNIVERSITARIO ITALIANO DE ROSARIO FACULTAD DE MEDICINA,Argentina,Rosario
PONTIFICIA UNIVERSIDAD CATÓLICA ARGENTINA FACULTAD DE CIENCIAS MÉDICAS,Argentina,Buenos Aires
UNICEN ESCUELA SUPERIOR DE CIENCIAS DE LA SALUD,Argentina,Olavarria
"UNIVERSIDAD ABIERTA INTERAMERICANA FACULTAD DE MEDICINA Y CIENCIAS DE LA SALUD, SEDE BUENOS AIRES",Argentina,Buenos Aires
"UNIVERSIDAD ABIERTA INTERAMERICANA FACULTAD DE MEDICINA Y CIENCIAS DE LA SALUD, SEDE ROSARIO",Argentina,Rosario
UNIVERSIDAD ADVENTISTA DEL PLATA FACULTAD DE CIENCIAS DE LA SALUD,Argentina,Entre Rios
UNIVERSIDAD AUSTRAL FACULTAD DE CIENCIAS BIOMÉDICAS,Argentina,Buenos Aires
UNIVERSIDAD CATÓLICA DE CÓRDOBA FACULTAD DE MEDICINA,Argentina,Cordoba
UNIVERSIDAD CATÓLICA DE CUYO FACULTAD DE CIENCIAS MÉDICAS SAN JUAN,Argentina,San Juan
UNIVERSIDAD CATÓLICA DE CUYO FACULTAD DE CIENCIAS MÉDICAS SAN LUIS,Argentina,San Luis
UNIVERSIDAD CATÓLICA DE LAS MISIONES FACULTAD DE CIENCIAS DE LA SALUD,Argentina,Posadas
UNIVERSIDAD DE BUENOS AIRES FACULTAD DE MEDICINA,Argentina,Buenos Aires
UNIVERSIDAD DE CIENCIAS EMPRESARIALES Y SOCIALES FACULTAD DE CIENCIAS DE LA SALUD,Argentina,Buenos Aires
UNIVERSIDAD DE CONCEPCIÓN DEL URUGUAY FACULTAD DE CIENCIAS MÉDICAS 'BARTOLOMÉ VASSALLO',Argentina,Concepción del Uruguay
UNIVERSIDAD DE MENDOZA FACULTAD DE CIENCIAS DE LA SALUD,Argentina,Mendoza
UNIVERSIDAD DE MORÓN FACULTAD DE MEDICINA,Argentina,Morón
UNIVERSIDAD DE SAN PABLO-T,Argentina,San Miguel de Tucumán
UNIVERSIDAD DEL ACONCAGUA FACULTAD DE CIENCIAS MÉDICAS,Argentina,Mendoza
UNIVERSIDAD DEL SALVADOR FACULTAD DE MEDICINA,Argentina,Buenos Aires
UNIVERSIDAD FASTA FACULTAD DE CIENCIAS MÉDICAS,Argentina,Mar del Plata
UNIVERSIDAD FAVALORO FACULTAD DE CIENCIAS MÉDICAS,Argentina,Buenos Aires
UNIVERSIDAD HEBREA ARGENTINA BAR ILAN FACULTAD DE CIENCIAS BIOLÓGICAS,Argentina,Buenos Aires
UNIVERSIDAD MAIMÓNIDES ESCUELA DE MEDICINA,Argentina,Buenos Aires
UNIVERSIDAD NACIONAL ARTURO JAURETCHE INSTITUTO DE CIENCIAS DE LA SALUD,Argentina,Buenos Aires
UNIVERSIDAD NACIONAL DE CÓRDOBA FACULTAD DE CIENCIAS MÉDICAS,Argentina,Cordoba
UNIVERSIDAD NACIONAL DE CUYO FACULTAD DE CIENCIAS MÉDICAS,Argentina,Mendoza
UNIVERSIDAD NACIONAL DE ENTRE RÍOS FACULTAD DE CIENCIAS DE LA SALUD,Argentina,Concepción del Uruguay
UNIVERSIDAD NACIONAL DE LA MATANZA DEPARTAMENTO DE CIENCIAS DE LA SALUD,Argentina,San Justo
UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO FACULTAD DE CS. NATURALES Y CS. DE LA SALUD,Argentina,Comodoro Rivadavia
UNIVERSIDAD NACIONAL DE LA PLATA FACULTAD DE CIENCIAS MÉDICAS,Argentina,La Plata
UNIVERSIDAD NACIONAL DE LA RIOJA ESCUELA DE MEDICINA,Argentina,La Rioja
UNIVERSIDAD NACIONAL DE MAR DEL PLATA ESCUELA SUPERIOR DE MEDICINA,Argentina,Mar del Plata
UNIVERSIDAD NACIONAL DE ROSARIO FACULTAD DE CIENCIAS MÉDICAS,Argentina,Rosario de Santa Fe
UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO FACULTAD DE CIENCIAS MÉDICAS,Argentina,Santiago del Estero
UNIVERSIDAD NACIONAL DE TUCUMÁN FACULTAD DE MEDICINA,Argentina,San Miguel de Tucumán
UNIVERSIDAD NACIONAL DE TUCUMÁN SALTA FACULTAD DE MEDICINA,Argentina,Salta
UNIVERSIDAD NACIONAL DE VILLA MARÍA INSTITUTO ACADÉMICO PEDAGÓGICO DE CIENCIAS HUMANAS,Argentina,Villa María
UNIVERSIDAD NACIONAL DEL CHACO AUSTRAL,Argentina,Sáenz Peña
UNIVERSIDAD NACIONAL DEL COMAHUE FACULTAD DE CIENCIAS MEDICAS,Argentina,Cipolletti
UNIVERSIDAD NACIONAL DEL LITORAL FACULTAD DE CIENCIAS MÉDICAS,Argentina,Santa Fe
UNIVERSIDAD NACIONAL DEL NORDESTE FACULTAD DE MEDICINA,Argentina,Corrientes
UNIVERSIDAD NACIONAL DEL SUR FACULTAD DE MEDICINA,Argentina,Bahia Blanca
ARMENIAN MEDICAL INSTITUTE FACULTY OF MEDICINE,Armenia,Yerevan
ARMENIAN-RUSSIAN INTERNATIONAL UNIVERSITY 'MKHITAR GOSH',Armenia,Yerevan
EREBUNI MEDICAL ACADEMY FOUNDATION,Armenia,Yerevan
ST. TEREZA MEDICAL UNIVERSITY,Armenia,Yerevan
YEREVAN GLADZOR UNIVERSITY FACULTY OF MEDICINE,Armenia,Yerevan
YEREVAN HAYBUSAK UNIVERSITY FACULTY OF MEDICINE,Armenia,Yerevan
YEREVAN STATE MEDICAL UNIVERSITY NAMED FOR MKHITAR HERATSI,Armenia,Yerevan
YEREVAN UNIVERSITY OF TRADITIONAL MEDICINE,Armenia,Yerevan
AUSTRALIAN NATIONAL UNIVERSITY MEDICAL SCHOOL,Australia,Canberra
BOND UNIVERSITY FACULTY OF HEALTH SCIENCES & MEDICINE,Australia,Gold Coast
CURTIN MEDICAL SCHOOL,Australia,Perth
DEAKIN UNIVERSITY SCHOOL OF MEDICINE,Australia,Geelong
FLINDERS UNIVERSITY OF SOUTH AUSTRALIA SCHOOL OF MEDICINE,Australia,Adelaide
GRIFFITH UNIVERSITY SCHOOL OF MEDICINE,Australia,Southport
JAMES COOK UNIVERSITY COLLEGE OF MEDICINE AND DENTISTRY,Australia,Douglas
MACQUARIE UNIVERSITY FACULTY OF MEDICINE & HEALTH SCIENCES,Australia,Sydney
MONASH SCHOOL OF MEDICINE,Australia,Clayton
THE UNIVERSITY OF WESTERN AUSTRALIA FACULTY OF HEALTH AND MEDICAL SCIENCES,Australia,Perth
UNIVERSITY OF ADELAIDE FACULTY OF HEALTH AND MEDICAL SCIENCES,Australia,Adelaide
"UNIVERSITY OF MELBOURNE FACULTY OF MEDICINE, DENTISTRY & HEALTH SCIENCES",Australia,Parkville
UNIVERSITY OF NEW ENGLAND SCHOOL OF RURAL MEDICINE,Australia,Armidale
UNIVERSITY OF NEW SOUTH WALES FACULTY OF MEDICINE,Australia,Sydney
UNIVERSITY OF NEWCASTLE FACULTY OF HEALTH AND MEDICINE,Australia,Callaghan
"UNIVERSITY OF NOTRE DAME AUSTRALIA SCHOOL OF MEDICINE, FREMANTLE",Australia,Fremantle
"UNIVERSITY OF NOTRE DAME AUSTRALIA SCHOOL OF MEDICINE, SYDNEY",Australia,Darlinghurst
UNIVERSITY OF QUEENSLAND FACULTY OF MEDICINE,Australia,Herston
"UNIVERSITY OF SYDNEY, SYDNEY MEDICAL SCHOOL",Australia,Sydney
UNIVERSITY OF TASMANIA SCHOOL OF MEDICINE,Australia,Hobart
UNIVERSITY OF WOLLONGONG SCHOOL OF MEDICINE,Australia,Wollongong
WESTERN SYDNEY UNIVERSITY SCHOOL OF MEDICINE,Australia,Campbelltown
JOHANNES KEPLER UNIVERSITÄT LINZ MEDIZINISCHE FAKULTÄT,Austria,Linz
KARL LANDSTEINER PRIVATUNIVERSITÄT FÜR GESUNDHEITSWISSENSCHAFTEN,Austria,Krems
MEDIZINISCHE UNIVERSITÄT GRAZ,Austria,Graz
MEDIZINISCHE UNIVERSITÄT INNSBRUCK,Austria,Innsbruck
MEDIZINISCHE UNIVERSITÄT WIEN,Austria,Wien
PARACELSUS MEDIZINISCHE PRIVATUNIVERSITÄT,Austria,Salzburg
SIGMUND FREUD PRIVATUNIVERSITÄT MEDIZINISCHEN FAKULTÄT,Austria,Wien
AZERBAIJAN INTERNATIONAL UNIVERSITY (AIU) FACULTY OF MEDICINE,Azerbaijan,Baku
AZERBAIJAN MEDICAL UNIVERSITY,Azerbaijan,Baku
"KHAZAR UNIVERSITY SCHOOL OF MEDICINE, DENTISTRY AND PUBLIC HEALTH",Azerbaijan,Baku
NAKHCHIVAN STATE UNIVERSITY FACULTY OF MEDICINE,Azerbaijan,Nakhchivan
ODLAR YURDU UNIVERSITY MEDICAL FACULTY,Azerbaijan,Baku
"WESTERN ATLANTIC UNIVERSITY, SCHOOL OF MEDICINE",Bahamas,Freeport
AMA INTERNATIONAL UNIVERSITY BAHRAIN COLLEGE OF MEDICINE,Bahrain,Salmabad
ARABIAN GULF UNIVERSITY COLLEGE OF MEDICINE AND MEDICAL SCIENCES,Bahrain,Manama
ROYAL COLLEGE OF SURGEONS IN IRELAND - MEDICAL UNIVERSITY OF BAHRAIN,Bahrain,Busaiteen
ABDUL MALEK UKIL MEDICAL COLLEGE,Bangladesh,Noakhali
AD-DIN AKIJ MEDICAL COLLEGE (AAMC),Bangladesh,Khulna
AD-DIN SAKINA MEDICAL COLLEGE,Bangladesh,Jessore
AD-DIN WOMEN'S MEDICAL COLLEGE,Bangladesh,Dhaka
ANWER KHAN MODERN MEDICAL COLLEGE,Bangladesh,Dhaka
ARMED FORCES MEDICAL COLLEGE (AFMC),Bangladesh,Dhaka
ARMY MEDICAL COLLEGE BOGURA,Bangladesh,Bogra
ARMY MEDICAL COLLEGE CHATTOGRAM,Bangladesh,Chittagong
ARMY MEDICAL COLLEGE CUMILLA,Bangladesh,Cumilla
ARMY MEDICAL COLLEGE JESSORE,Bangladesh,Jessore
ARMY MEDICAL COLLEGE RANGPUR,Bangladesh,Rangpur
ASHIYAN MEDICAL COLLEGE,Bangladesh,Dhaka
B.G.C. TRUST MEDICAL COLLEGE,Bangladesh,Chittagong
BANGABANDHU SHEIKH MUJIB MEDICAL UNIVERSITY & HOSPITAL,Bangladesh,Dhaka
BANGLADESH MEDICAL COLLEGE (BMSRI),Bangladesh,Dhaka
BARIND MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Rajshahi
BASHUNDHARA AD-DIN MEDICAL COLLEGE,Bangladesh,Keranigonj
BIKRAMPUR BHUIYAN MEDICAL COLLEGE,Bangladesh,Damla
BRAHMANBARIA MEDICAL COLLEGE,Bangladesh,Brahmanbaria
CARE MEDICAL COLLEGE,Bangladesh,Dhaka
"CENTRAL MEDICAL COLLEGE, COMILLA",Bangladesh,Comilla
CHATTAGRAM INTERNATIONAL MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Chittagong
CHATTAGRAM MAA-O-SHISHU HOSPITAL MEDICAL COLLEGE,Bangladesh,Chittagong
CHITTAGONG MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Chittagong
CITY MEDICAL COLLEGE,Bangladesh,Gazipur
COLONEL MALEK MEDICAL COLLEGE,Bangladesh,Manikganj
COMILLA MEDICAL COLLEGE & HOSPITAL,Bangladesh,Comilla
"COMMUNITY BASED MEDICAL COLLEGE, BANGLADESH (CBMCB)",Bangladesh,Mymensingh
COX'S BAZAR MEDICAL COLLEGE,Bangladesh,Cox's Bazar
DELTA MEDICAL COLLEGE,Bangladesh,Dhaka
DHAKA CENTRAL INTERNATIONAL MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Dhaka
DHAKA COMMUNITY MEDICAL COLLEGE,Bangladesh,Dhaka
DHAKA MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Dhaka
DHAKA NATIONAL MEDICAL COLLEGE & HOSPITAL,Bangladesh,Dhaka
DIABETIC ASSOCIATION MEDICAL COLLEGE,Bangladesh,Faridpur
DR. SIRAJUL ISLAM MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Dhaka
EAST WEST MEDICAL COLLEGE,Bangladesh,Dhaka
"EASTERN MEDICAL COLLEGE, COMILLA",Bangladesh,Comilla
ENAM MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Dhaka
FARIDPUR MEDICAL COLLEGE & HOSPITAL,Bangladesh,Faridpur
GAZI MEDICAL COLLEGE,Bangladesh,Khulna
GONOSHASTHAYA SAMAJ VITTIK MEDICAL COLLEGE,Bangladesh,Dhaka
GREEN LIFE MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Dhaka
HOLY FAMILY RED CRESCENT MEDICAL COLLEGE,Bangladesh,Dhaka
IBN SINA MEDICAL COLLEGE,Bangladesh,Dhaka
IBRAHIM MEDICAL COLLEGE,Bangladesh,Dhaka
INSTITUTE OF APPLIED HEALTH SCIENCES (IAHS),Bangladesh,Chittagong
INTERNATIONAL MEDICAL COLLEGE,Bangladesh,Gazipur
ISLAMI BANK MEDICAL COLLEGE,Bangladesh,Rajshahi
JAHURUL ISLAM MEDICAL COLLEGE & HOSPITAL,Bangladesh,Kishoreganj
JALALABAD RAGIB-RABEYA MEDICAL COLLEGE,Bangladesh,Sylhet
JESSORE MEDICAL COLLEGE,Bangladesh,Jessore
KHULNA MEDICAL COLLEGE,Bangladesh,Khulna
KHWAJA YUNUS ALI MEDICAL COLLEGE,Bangladesh,Sirajgonj
KUMUDINI WOMEN'S MEDICAL COLLEGE,Bangladesh,Dhaka
KUSHTIA MEDICAL COLLEGE,Bangladesh,Kushtia
M ABDUR RAHIM MEDICAL COLLEGE,Bangladesh,Dinajpur
M.H. SAMORITA HOSPITAL AND MEDICAL COLLEGE,Bangladesh,Dhaka
MAINAMOTI MEDICAL COLLEGE,Bangladesh,Comilla
MARINE CITY MEDICAL COLLEGE,Bangladesh,Chittagong
